Date,Close
2021-02-21,1922.8
2021-02-22,1799.77
2021-02-23,1539.99
2021-02-24,1591.57
2021-02-25,1526.11
2021-02-26,1429.31
2021-02-27,1507.11
2021-02-28,1416.12
2021-03-01,1547.0
2021-03-02,1467.94
2021-03-03,1595.02
2021-03-04,1516.45
2021-03-05,1535.09
2021-03-06,1642.7
2021-03-07,1664.0
2021-03-08,1790.92
2021-03-09,1825.0
2021-03-10,1816.73
2021-03-11,1840.5
2021-03-12,1758.32
2021-03-13,1911.71
2021-03-14,1876.05
2021-03-15,1791.32
2021-03-16,1797.41
2021-03-17,1817.47
2021-03-18,1774.49
2021-03-19,1817.85
2021-03-20,1827.61
2021-03-21,1800.0
2021-03-22,1678.35
2021-03-23,1672.34
2021-03-24,1615.01
2021-03-25,1603.41
2021-03-26,1664.68
2021-03-27,1718.5
2021-03-28,1667.28
2021-03-29,1806.4
2021-03-30,1840.99
2021-03-31,1940.0
2021-04-01,1969.99
2021-04-02,2092.13
2021-04-03,2061.32
2021-04-04,2061.67
2021-04-05,2104.42
2021-04-06,2122.45
2021-04-07,1983.56
2021-04-08,2054.91
2021-04-09,2070.83
2021-04-10,2090.86
2021-04-11,2144.51
2021-04-12,2145.92
2021-04-13,2301.0
2021-04-14,2369.54
2021-04-15,2499.5
2021-04-16,2460.83
2021-04-17,2390.93
2021-04-18,2226.09
2021-04-19,2206.66
2021-04-20,2307.28
2021-04-21,2405.01
2021-04-22,2408.0
2021-04-23,2323.83
2021-04-24,2295.99
2021-04-25,2214.89
2021-04-26,2463.0
2021-04-27,2649.25
2021-04-28,2708.01
2021-04-29,2712.8
2021-04-30,2763.92
2021-05-01,2949.51
2021-05-02,2969.0
2021-05-03,3288.0
2021-05-04,3409.65
2021-05-05,3467.44
2021-05-06,3467.85
2021-05-07,3501.77
2021-05-08,3852.0
2021-05-09,3909.82
2021-05-10,3899.32
2021-05-11,4140.0
2021-05-12,4104.21
2021-05-13,3714.2
2021-05-14,3990.47
2021-05-15,3794.99
2021-05-16,3360.34
2021-05-17,3440.1
2021-05-18,3434.23
2021-05-19,2535.67
2021-05-20,2761.8
2021-05-21,2248.8
2021-05-22,2356.38
2021-05-23,2073.14
2021-05-24,2623.97
2021-05-25,2552.11
2021-05-26,2791.65
2021-05-27,2725.92
2021-05-28,2424.99
2021-05-29,2237.97
2021-05-30,2437.73
2021-05-31,2595.82
2021-06-01,2577.58
2021-06-02,2723.52
2021-06-03,2819.99
2021-06-04,2702.23
2021-06-05,2627.47
2021-06-06,2706.96
2021-06-07,2651.31
2021-06-08,2537.01
2021-06-09,2563.27
2021-06-10,2467.85
2021-06-11,2383.54
2021-06-12,2403.58
2021-06-13,2562.82
2021-06-14,2541.84
2021-06-15,2522.43
2021-06-16,2402.42
2021-06-17,2343.23
2021-06-18,2194.37
2021-06-19,2225.64
2021-06-20,2254.99
2021-06-21,1941.23
2021-06-22,1930.48
2021-06-23,1931.56
2021-06-24,2007.27
2021-06-25,1867.87
2021-06-26,1767.57
2021-06-27,1816.34
2021-06-28,2135.01
