Date,Close
2020-06-09,0.0831
2020-06-10,0.0836
2020-06-11,0.0751
2020-06-12,0.0791
2020-06-13,0.079
2020-06-14,0.0763
2020-06-15,0.0782
2020-06-16,0.0791
2020-06-17,0.0832
2020-06-18,0.082
2020-06-19,0.0798
2020-06-20,0.0794
2020-06-21,0.0783
2020-06-22,0.0839
2020-06-23,0.0826
2020-06-24,0.0824
2020-06-25,0.0814
2020-06-26,0.0805
2020-06-27,0.0773
2020-06-28,0.0802
2020-06-29,0.0839
2020-06-30,0.0838
2020-07-01,0.097
2020-07-02,0.093
2020-07-03,0.0966
2020-07-04,0.1001
2020-07-05,0.0984
2020-07-06,0.1052
2020-07-07,0.1176
2020-07-08,0.1301
2020-07-09,0.1242
2020-07-10,0.1187
2020-07-11,0.1254
2020-07-12,0.1271
2020-07-13,0.1243
2020-07-14,0.1322
2020-07-15,0.1305
2020-07-16,0.1259
2020-07-17,0.1226
2020-07-18,0.123
2020-07-19,0.124
2020-07-20,0.1178
2020-07-21,0.1233
2020-07-22,0.1245
2020-07-23,0.1242
2020-07-24,0.1221
2020-07-25,0.144
2020-07-26,0.1487
2020-07-27,0.139
2020-07-28,0.1491
2020-07-29,0.14
2020-07-30,0.1416
2020-07-31,0.1401
2020-08-01,0.1452
2020-08-02,0.1349
2020-08-03,0.141
2020-08-04,0.1436
2020-08-05,0.1424
2020-08-06,0.1447
2020-08-07,0.139
2020-08-08,0.1469
2020-08-09,0.1453
2020-08-10,0.1439
2020-08-11,0.1368
2020-08-12,0.1366
2020-08-13,0.1398
2020-08-14,0.1385
2020-08-15,0.1384
2020-08-16,0.1389
2020-08-17,0.1407
2020-08-18,0.1372
2020-08-19,0.1297
2020-08-20,0.1343
2020-08-21,0.1231
2020-08-22,0.1252
2020-08-23,0.1215
2020-08-24,0.1237
2020-08-25,0.1125
2020-08-26,0.1143
2020-08-27,0.1074
2020-08-28,0.1093
2020-08-29,0.1164
2020-08-30,0.1176
2020-08-31,0.1226
2020-09-01,0.1245
2020-09-02,0.1151
2020-09-03,0.0951
2020-09-04,0.1018
2020-09-05,0.0899
2020-09-06,0.0926
2020-09-07,0.0935
2020-09-08,0.0911
2020-09-09,0.0933
2020-09-10,0.0971
2020-09-11,0.0969
2020-09-12,0.0977
2020-09-13,0.0951
2020-09-14,0.0967
2020-09-15,0.0932
2020-09-16,0.0914
2020-09-17,0.0942
2020-09-18,0.0911
2020-09-19,0.0914
2020-09-20,0.0894
2020-09-21,0.0799
2020-09-22,0.0815
2020-09-23,0.0765
2020-09-24,0.0827
2020-09-25,0.097
2020-09-26,0.0955
2020-09-27,0.1013
2020-09-28,0.1004
2020-09-29,0.1012
2020-09-30,0.1014
2020-10-01,0.0981
2020-10-02,0.0929
2020-10-03,0.0933
2020-10-04,0.0969
2020-10-05,0.0976
2020-10-06,0.093
2020-10-07,0.0937
2020-10-08,0.0963
2020-10-09,0.1015
2020-10-10,0.105
2020-10-11,0.1066
2020-10-12,0.1095
2020-10-13,0.1094
2020-10-14,0.1072
2020-10-15,0.1067
2020-10-16,0.1042
2020-10-17,0.1059
2020-10-18,0.1075
2020-10-19,0.1087
2020-10-20,0.1025
2020-10-21,0.1061
2020-10-22,0.111
2020-10-23,0.1081
2020-10-24,0.1081
2020-10-25,0.1066
2020-10-26,0.1031
2020-10-27,0.1026
2020-10-28,0.099
2020-10-29,0.0953
2020-10-30,0.0934
2020-10-31,0.0932
2020-11-01,0.0983
2020-11-02,0.0925
2020-11-03,0.0937
2020-11-04,0.0956
2020-11-05,0.0977
2020-11-06,0.1094
2020-11-07,0.1013
2020-11-08,0.1065
2020-11-09,0.1054
2020-11-10,0.1059
2020-11-11,0.106
2020-11-12,0.1048
2020-11-13,0.1065
2020-11-14,0.1044
2020-11-15,0.1005
2020-11-16,0.1039
2020-11-17,0.1097
2020-11-18,0.1067
2020-11-19,0.106
2020-11-20,0.1185
2020-11-21,0.1338
2020-11-22,0.1461
2020-11-23,0.1545
2020-11-24,0.1674
2020-11-25,0.1552
2020-11-26,0.1407
2020-11-27,0.1418
2020-11-28,0.1653
2020-11-29,0.1671
2020-11-30,0.1723
2020-12-01,0.1555
2020-12-02,0.1586
2020-12-03,0.1642
2020-12-04,0.1478
2020-12-05,0.1601
2020-12-06,0.1588
2020-12-07,0.154
2020-12-08,0.141
2020-12-09,0.1481
2020-12-10,0.1418
2020-12-11,0.1392
2020-12-12,0.1441
2020-12-13,0.1538
2020-12-14,0.1586
2020-12-15,0.154
2020-12-16,0.1684
2020-12-17,0.1635
2020-12-18,0.1653
2020-12-19,0.1645
2020-12-20,0.1624
2020-12-21,0.1528
2020-12-22,0.157
2020-12-23,0.1366
2020-12-24,0.1532
2020-12-25,0.1575
2020-12-26,0.1581
2020-12-27,0.1541
2020-12-28,0.1761
2020-12-29,0.1905
2020-12-30,0.184
2020-12-31,0.1817
2021-01-01,0.1756
2021-01-02,0.1775
2021-01-03,0.2068
2021-01-04,0.2261
2021-01-05,0.2599
2021-01-06,0.3342
2021-01-07,0.2993
2021-01-08,0.3041
2021-01-09,0.3318
2021-01-10,0.3015
2021-01-11,0.2754
2021-01-12,0.2889
2021-01-13,0.3125
2021-01-14,0.3112
2021-01-15,0.3028
2021-01-16,0.3504
2021-01-17,0.3818
2021-01-18,0.3706
2021-01-19,0.3685
2021-01-20,0.3754
2021-01-21,0.308
2021-01-22,0.3496
2021-01-23,0.3456
2021-01-24,0.3538
2021-01-25,0.343
2021-01-26,0.3442
2021-01-27,0.3125
2021-01-28,0.345
2021-01-29,0.3475
2021-01-30,0.364
2021-01-31,0.3452
2021-02-01,0.4089
2021-02-02,0.4254
2021-02-03,0.4427
2021-02-04,0.4402
2021-02-05,0.541
2021-02-06,0.635
2021-02-07,0.6636
2021-02-08,0.6782
2021-02-09,0.7067
2021-02-10,0.9416
2021-02-11,0.9299
2021-02-12,0.9282
2021-02-13,0.9137
2021-02-14,0.8459
2021-02-15,0.8598
2021-02-16,0.8715
2021-02-17,0.893
2021-02-18,0.9139
2021-02-19,0.926
2021-02-20,1.1161
2021-02-21,1.1008
2021-02-22,1.0984
2021-02-23,0.9631
2021-02-24,1.0496
2021-02-25,1.073
2021-02-26,1.2429
2021-02-27,1.3187
2021-02-28,1.3156
2021-03-01,1.2969
2021-03-02,1.226
2021-03-03,1.2156
2021-03-04,1.1126
2021-03-05,1.1581
2021-03-06,1.1285
2021-03-07,1.1322
2021-03-08,1.1186
2021-03-09,1.199
2021-03-10,1.1324
2021-03-11,1.1259
2021-03-12,1.0329
2021-03-13,1.101
2021-03-14,1.0533
2021-03-15,1.0314
2021-03-16,1.25
2021-03-17,1.3791
2021-03-18,1.231
2021-03-19,1.2943
2021-03-20,1.2004
2021-03-21,1.187
2021-03-22,1.1024
2021-03-23,1.1155
2021-03-24,1.0687
2021-03-25,1.0971
2021-03-26,1.2149
2021-03-27,1.1768
2021-03-28,1.1897
2021-03-29,1.2026
2021-03-30,1.2132
2021-03-31,1.1924
2021-04-01,1.1842
2021-04-02,1.1914
2021-04-03,1.1633
2021-04-04,1.182
2021-04-05,1.2117
2021-04-06,1.2523
2021-04-07,1.1737
2021-04-08,1.2191
2021-04-09,1.2023
2021-04-10,1.2178
2021-04-11,1.2625
2021-04-12,1.3151
2021-04-13,1.4115
2021-04-14,1.4534
2021-04-15,1.4793
2021-04-16,1.4129
2021-04-17,1.372
2021-04-18,1.2804
2021-04-19,1.194
2021-04-20,1.26
2021-04-21,1.2416
2021-04-22,1.1837
2021-04-23,1.1324
2021-04-24,1.129
2021-04-25,1.0623
2021-04-26,1.2154
2021-04-27,1.2993
2021-04-28,1.3164
2021-04-29,1.2976
2021-04-30,1.3463
2021-05-01,1.3388
2021-05-02,1.344
2021-05-03,1.3515
2021-05-04,1.3093
2021-05-05,1.4516
2021-05-06,1.6124
2021-05-07,1.652
2021-05-08,1.6139
2021-05-09,1.8005
2021-05-10,1.64
2021-05-11,1.7377
2021-05-12,1.7422
2021-05-13,1.9122
2021-05-14,1.9467
2021-05-15,2.2863
2021-05-16,2.0226
2021-05-17,2.1165
2021-05-18,2.0154
2021-05-19,1.5106
2021-05-20,1.8063
2021-05-21,1.4162
2021-05-22,1.4868
2021-05-23,1.2706
2021-05-24,1.5538
2021-05-25,1.5167
2021-05-26,1.7442
2021-05-27,1.6501
2021-05-28,1.5071
2021-05-29,1.3652
2021-05-30,1.625
2021-05-31,1.6677
2021-06-01,1.7176
2021-06-02,1.7627
2021-06-03,1.8266
2021-06-04,1.7458
2021-06-05,1.679
2021-06-06,1.6739
2021-06-07,1.6255
2021-06-08,1.5821
2021-06-09,1.58
2021-06-10,1.5354
2021-06-11,1.5234
2021-06-12,1.5234
2021-06-13,1.5234
2021-06-14,1.5459
2021-06-15,1.5461
2021-06-16,1.5104
2021-06-17,1.4659
2021-06-18,1.3988
2021-06-19,1.4141
2021-06-20,1.4528
2021-06-21,1.2757
2021-06-22,1.193
2021-06-23,1.2142
2021-06-24,1.3667
2021-06-25,1.2918
2021-06-26,1.2204
2021-06-27,1.2572
2021-06-28,1.3403
2021-06-29,1.3787
2021-06-30,1.3731
2021-07-01,1.3319
2021-07-02,1.3525
2021-07-03,1.4231
2021-07-04,1.4648
2021-07-05,1.4117
2021-07-06,1.4029
2021-07-07,1.4166
2021-07-08,1.3517
2021-07-09,1.3432
2021-07-10,1.331
2021-07-11,1.337
2021-07-12,1.304
2021-07-13,1.2643
2021-07-14,1.2673
2021-07-15,1.2304
2021-07-16,1.1836
2021-07-17,1.183
2021-07-18,1.1807
2021-07-19,1.125
2021-07-20,1.0801
2021-07-21,1.1571
2021-07-22,1.185
2021-07-23,1.17
2021-07-24,1.2196
2021-07-25,1.2082
2021-07-26,1.278
2021-07-27,1.2548
2021-07-28,1.276
2021-07-29,1.2907
2021-07-30,1.2986
2021-07-31,1.3086
2021-08-01,1.3547
2021-08-02,1.3019
2021-08-03,1.3726
2021-08-04,1.3863
2021-08-05,1.3881
2021-08-06,1.4057
2021-08-07,1.4514
2021-08-08,1.4208
2021-08-09,1.4612
2021-08-10,1.604
2021-08-11,1.852
2021-08-12,1.7609
2021-08-13,2.05
2021-08-14,2.1717
2021-08-15,2.1867
2021-08-16,2.0969
2021-08-17,2.018
2021-08-18,2.048
2021-08-19,2.3647
2021-08-20,2.4851
2021-08-21,2.4006
2021-08-22,2.5769
2021-08-23,2.9188
2021-08-24,2.8251
2021-08-25,2.7249
2021-08-26,2.5359
2021-08-27,2.8814
2021-08-28,2.8388
2021-08-29,2.8916
2021-08-30,2.8169
2021-08-31,2.7598
2021-09-01,2.8343
2021-09-02,2.9757
2021-09-03,2.9685
2021-09-04,2.8656
2021-09-05,2.9484
2021-09-06,2.8407
2021-09-07,2.4029
2021-09-08,2.3961
2021-09-09,2.4967
2021-09-10,2.358
2021-09-11,2.7151
2021-09-12,2.5577
2021-09-13,2.4361
2021-09-14,2.3953
2021-09-15,2.4814
2021-09-16,2.3849
2021-09-17,2.3331
2021-09-18,2.367
2021-09-19,2.3254
2021-09-20,2.0856
2021-09-21,1.9871
2021-09-22,2.2455
2021-09-23,2.2505
2021-09-24,2.2874
2021-09-25,2.3604
2021-09-26,2.267
2021-09-27,2.1681
2021-09-28,2.0718
2021-09-29,2.0407
2021-09-30,2.0985
2021-10-01,2.2459
2021-10-02,2.296
2021-10-03,2.2597
2021-10-04,2.1832
2021-10-05,2.2402
2021-10-06,2.2201
2021-10-07,2.2979
2021-10-08,2.2308
2021-10-09,2.267
2021-10-10,2.2234
2021-10-11,2.1333
2021-10-12,2.1363
2021-10-13,2.1545
2021-10-14,2.166
2021-10-15,2.2341
2021-10-16,2.186
2021-10-17,2.1182
2021-10-18,2.133
2021-10-19,2.0937
2021-10-20,2.1808
2021-10-21,2.1542
2021-10-22,2.1584
2021-10-23,2.146
2021-10-24,2.1237
2021-10-25,2.1448
2021-10-26,2.191
2021-10-27,1.944
2021-10-28,2.0069
2021-10-29,2.0081
2021-10-30,1.9733
2021-10-31,1.9584
2021-11-01,1.9369
2021-11-02,1.9651
2021-11-03,2.0897
2021-11-04,1.9847
2021-11-05,1.9646
2021-11-06,1.9883
2021-11-07,2.0198
2021-11-08,2.108
2021-11-09,2.2861
2021-11-10,2.0498
2021-11-11,2.1
2021-11-12,2.0572
2021-11-13,2.0474
2021-11-14,2.0367
2021-11-15,2.0292
2021-11-16,1.898
2021-11-17,1.864
2021-11-18,1.7987
2021-11-19,1.8593
2021-11-20,1.9183
2021-11-21,1.8745
2021-11-22,1.7791
2021-11-23,1.7637
2021-11-24,1.646
2021-11-25,1.6817
2021-11-26,1.5582
2021-11-27,1.5491
2021-11-28,1.5825
2021-11-29,1.6154
2021-11-30,1.5665
2021-12-01,1.549
2021-12-02,1.7116
2021-12-03,1.5747
2021-12-04,1.4112
2021-12-05,1.3639
2021-12-06,1.3863
2021-12-07,1.39
2021-12-08,1.4066
2021-12-09,1.3071
2021-12-10,1.2517
2021-12-11,1.3453
2021-12-12,1.3585
2021-12-13,1.2303
2021-12-14,1.2718
2021-12-15,1.3177
2021-12-16,1.2693
2021-12-17,1.2334
2021-12-18,1.2462
2021-12-19,1.2423
2021-12-20,1.2425
2021-12-21,1.2815
2021-12-22,1.3448
2021-12-23,1.4702
2021-12-24,1.412
2021-12-25,1.45
2021-12-26,1.4574
2021-12-27,1.5313
2021-12-28,1.4036
2021-12-29,1.3552
2021-12-30,1.3482
2021-12-31,1.3102
2022-01-01,1.3618
2022-01-02,1.3631
2022-01-03,1.3266
2022-01-04,1.3199
2022-01-05,1.2444
2022-01-06,1.2722
2022-01-07,1.225
2022-01-08,1.1886
2022-01-09,1.1823
2022-01-10,1.1351
2022-01-11,1.1875
2022-01-12,1.2979
2022-01-13,1.2508
2022-01-14,1.2989
2022-01-15,1.308
2022-01-16,1.3964
2022-01-17,1.5267
2022-01-18,1.4726
2022-01-19,1.3311
2022-01-20,1.2865
2022-01-21,1.1409
2022-01-22,1.0921
2022-01-23,1.0682
2022-01-24,1.0774
2022-01-25,1.0278
2022-01-26,1.0365
2022-01-27,1.0347
2022-01-28,1.0482
2022-01-29,1.067
2022-01-30,1.035
2022-01-31,1.0479
2022-02-01,1.0782
2022-02-02,1.03
2022-02-03,1.0558
2022-02-04,1.1083
2022-02-05,1.1259
2022-02-06,1.1264
2022-02-07,1.1871
2022-02-08,1.1686
2022-02-09,1.2036
2022-02-10,1.1619
2022-02-11,1.0927
2022-02-12,1.0486
2022-02-13,1.0414
2022-02-14,1.041
2022-02-15,1.0908
2022-02-16,1.085
2022-02-17,1.0255
2022-02-18,0.9978
2022-02-19,0.988
2022-02-20,0.9344
2022-02-21,0.8813
2022-02-22,0.8757
2022-02-23,0.888
2022-02-24,0.866
2022-02-25,0.8822
2022-02-26,0.903
2022-02-27,0.8482
2022-02-28,0.9303
2022-03-01,0.9582
